Source,Target
50,930
446,988
951,710
425,20
894,777
502,630
937,692
257,591
496,626
966,167
811,532
467,887
366,256
423,987
441,39
356,397
880,255
584,29
805,143
402,605
686,754
77,799
225,272
507,784
557,564
996,886
148,846
437,547
915,924
573,868
276,674
788,728
159,489
678,811
410,720
70,708
724,666
347,724
501,701
512,793
161,713
988,386
968,131
840,937
700,361
782,391
809,38
690,798
620,330
681,78
571,192
945,52
346,258
500,838
51,859
516,412
989,550
335,25
821,759
888,818
707,593
911,886
917,710
726,761
977,835
250,230
227,367
510,173
836,967
637,672
500,911
408,210
458,300
40,814
589,715
354,699
897,889
367,628
121,922
396,267
117,651
340,388
551,289
204,667
139,15
74,531
315,164
213,458
817,187
116,851
373,817
824,597
675,248
980,369
915,191
275,219
13,270
522,98
638,467
772,189
82,859
302,928
12,306
139,382
286,987
846,630
680,928
111,20
302,378
158,394
75,309
765,396
373,728
637,878
577,899
829,273
626,552
708,805
457,79
889,915
706,248
239,8
190,924
13,306
844,907
2,467
830,69
8,713
819,601
172,152
182,911
185,111
334,757
527,872
656,500
487,83
56,1000
325,540
297,513
319,22
489,908
758,825
710,414
998,122
382,334
65,340
378,175
875,400
774,708
319,414
659,206
121,28
680,43
203,459
560,492
565,790
232,958
969,402
790,111
464,647
383,756
508,645
318,383
416,446
627,497
461,136
642,922
928,517
744,449
769,868
196,335
860,809
398,150
373,842
597,92
803,647
43,220
1000,508
305,202
273,564
285,38
584,364
967,641
806,109
646,880
59,216
167,112
421,771
84,253
25,944
827,743
116,962
202,518
152,810
515,387
703,83
287,971
159,683
157,565
704,641
361,273
564,47
639,10
697,378
868,202
187,842
363,959
574,333
638,303
102,686
870,671
733,593
82,761
626,578
638,446
382,344
303,491
110,707
47,32
281,857
415,402
446,622
923,839
316,27
820,652
310,604
462,392
958,68
72,900
323,633
506,499
381,51
86,264
690,777
331,248
803,685
352,455
620,487
43,813
17,70
195,803
111,446
655,168
158,542
404,821
29,872
942,922
589,707
410,786
205,336
594,556
250,754
967,499
808,393
686,384
564,421
934,799
534,871
970,542
115,704
612,981
63,70
233,403
560,196
861,173
908,39
150,727
329,860
846,505
952,237
598,934
831,957
49,274
780,78
277,220
555,43
270,791
556,591
102,648
693,790
837,248
541,478
376,570
659,684
432,219
483,497
597,805
203,386
298,831
75,155
865,444
685,773
500,596
705,501
346,672
899,292
535,128
713,193
891,722
805,989
787,368
646,630
651,65
75,140
417,958
284,762
179,955
414,546
468,870
469,278
26,269
977,377
590,905
60,593
179,568
907,190
374,664
43,752
940,430
287,161
576,954
234,865
199,715
312,998
783,231
796,266
964,54
619,589
202,488
770,864
552,806
848,878
114,195
936,673
427,479
352,632
885,145
426,105
900,999
7,581
442,634
191,238
941,762
99,933
383,899
599,643
577,392
473,604
528,219
872,199
190,336
376,846
159,439
997,873
324,365
25,65
294,879
535,275
493,964
668,159
882,380
735,313
413,662
911,927
792,677
492,85
90,21
902,48
898,989
363,208
769,159
873,31
166,592
24,532
304,648
499,263
136,173
907,373
92,559
703,85
438,303
367,496
567,562
496,187
438,404
723,715
684,615
357,391
873,781
982,443
465,849
26,837
280,612
741,383
690,62
23,955
916,196
825,83
991,468
111,436
591,253
246,151
836,278
804,965
713,904
391,708
681,579
76,157
444,103
431,795
881,276
23,807
828,872
292,247
925,477
480,397
937,807
301,556
222,826
673,907
341,114
51,851
870,68
454,83
201,954
253,576
515,868
807,322
784,610
487,257
146,578
533,763
289,473
207,156
301,829
602,283
564,607
814,366
116,968
771,599
896,855
258,754
957,604
981,72
292,35
411,796
633,973
793,322
458,766
275,669
148,141
319,929
381,951
118,269
179,983
280,985
783,247
138,535
747,318
683,306
807,772
425,840
703,370
375,25
822,996
374,956
523,278
676,553
830,742
696,142
431,165
783,66
381,97
862,897
870,301
728,823
534,479
827,345
791,856
806,647
357,642
698,245
658,301
917,735
660,545
758,301
597,588
67,575
422,948
248,843
126,563
242,690
275,854
734,374
543,624
967,245
337,2
250,33
108,417
160,983
446,738
73,642
202,968
235,331
620,334
605,929
496,717
394,340
169,837
762,189
775,280
981,22
543,321
96,591
502,668
304,304
692,183
396,141
757,23
501,937
717,425
531,972
306,63
370,113
465,322
957,793
83,454
546,53
992,309
236,496
479,618
668,139
901,104
247,88
56,915
455,241
679,902
750,589
461,636
876,945
447,648
516,204
216,776
442,450
271,842
984,502
655,864
45,514
384,465
442,83
782,233
649,481
222,493
954,672
886,531
131,135
167,876
102,871
478,344
636,781
565,213
325,629
742,730
809,979
112,985
789,595
727,917
135,311
574,577
62,729
697,5
84,516
626,776
523,217
185,494
486,485
266,455
987,830
518,388
524,41
726,750
759,534
752,503
533,676
551,568
417,819
586,210
787,974
684,478
